Atom,A,B,Value,Uncertainty,Method,Year,Citation,Notes
Ba+,6p+,5d+,4.13,0.03,CCSDpT,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Ba+,6p+,6s,4.659,,CCSDvT+scale+dress+QED+Breit,2021,"S. G. Porsev and M. S. Safronova, Phys. Rev. A 103, 042815 (2021).",
Ba+,6p+,5d-,1.312,,CCSDvT+scale+dress+QED+Breit,2021,"S. G. Porsev and M. S. Safronova, Phys. Rev. A 103, 042815 (2021).",
Ba+,6p+,5d+,4.047,,CCSDvT+scale+dress+QED+Breit,2021,"S. G. Porsev and M. S. Safronova, Phys. Rev. A 103, 042815 (2021).",
Ba+,6p+,6s,4.7017,0.0027,Expt.,2010,"S. L. Woods, M. E. Hanni, S. R. Lundeen, and E. L. Snow, Phys. Rev. A 82, 012506 (2010)",
Ba+,6p+,5d-,1.33199,0.00096,Expt.,2020,"Z. Zhang, K. J. Arnold, S. R. Chanu, R. Kaewuam, M. S. Safronova, and M. D. Barrett, Phys. Rev. A 101, 062515 (2020)",
Ba+,6p+,5d+,4.1028,0.0025,Expt.,2020,"Z. Zhang, K. J. Arnold, S. R. Chanu, R. Kaewuam, M. S. Safronova, and M. D. Barrett, Phys. Rev. A 101, 062515 (2020)",
Ba+,6p+,6s,4.72,0.04,Old Expt.,2008,"N. Kurz, M. R. Dietrich, G. Shu, R. Bowler, J. Salacka, V. Mirgon, and B. B. Blinov, Phys. Rev. A 77, R060501 (2008)",* Old expt value; compare to Sahoo 2009…..
Ba+,6p+,5d-,1.36,0.04,Old Expt.,1993,"A. Kastberg, P. Villemoes, A. Arnesen, F. Heijkenskjöld, A. Langereis, P. Jungner, and S. Linnaeus, J. Opt. Soc. Am. B 10, 1330 (1993)",* Old expt value; compare to Sahoo 2009…..
Ba+,7p-,6s,0.099,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,7p-,7s,7.008,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,7p-,5d-,0.261,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,7p-,6s,0.0621,,CCSDpT,2008,E. Iskrenova-Tchoukova and M. S. Safronova PhysRevA.78.012508 (2008),
Ba+,7p+,6s,0.035,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,7p+,7s,9.773,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,7p+,5d-,0.147,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,7p+,5d+,0.432,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,7p+,6s,0.0868,,CCSDpT,2008,E. Iskrenova-Tchoukova and M. S. Safronova PhysRevA.78.012508 (2008),
Ba+,8p-,6s,0.115,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,8p-,7s,0.113,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,8p-,5d-,0.119,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,8p+,6s,0.073,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,8p+,7s,0.463,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,8p+,5d-,0.07,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,8p+,5d+,0.206,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ca+,4p-,4s,2.8928,0.0043,Expt,2015,"M. Hettrich, T. Ruster, H. Kaufmann, C. F. Roos, C. T. Schmiegelow, F. Schmidt-Kaler, and U. G. Poschinger, Phys. Rev. Lett. 115, 143003 (2015)",
Ca+,4p-,4s,2.898,0.013,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 012503 (2011).",
Ca+,4p-,5s,2.073,0.011,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 012503 (2011).",
Ca+,4p-,3d-,2.464,0.013,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 012503 (2011).",
Ca+,4p-,4s,2.88,0.01,CCSDpT,2009,"B. K. Sahoo, B. P. Das, and D. Mukherjee, Phys. Rev. A 79, 052511 (2009).",
Ca+,4p-,3d-,2.40,0.02,CCSDpT,2009,"B. K. Sahoo, B. P. Das, and D. Mukherjee, Phys. Rev. A 79, 052511 (2009).",
Ca+,4p-,4s,2.89,0.02,CCSDpT,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).","*** These are IDENTICAL to Safronova, by just truncating the value at 2 d.p.???"
Ca+,4p-,5s,2.073,0.007,CCSDpT,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).","*** These are IDENTICAL to Safronova, by just truncating the value at 2 d.p.???"
Ca+,4p-,3d-,2.46,0.01,CCSDpT,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).","*** These are IDENTICAL to Safronova, by just truncating the value at 2 d.p.???"
Ca+,4p-,4s,2.913,0.007,CCSDpT,2015," J. Kaur, D. K. Nandy, B. Arora, and B. K. Sahoo, Phys. Rev. A 91, 012705 (2015).",
Ca+,4p+,4s,4.091,0.006,Expt,2015,"M. Hettrich, T. Ruster, H. Kaufmann, C. F. Roos, C. T. Schmiegelow, F. Schmidt-Kaler, and U. G. Poschinger, Phys. Rev. Lett. 115, 143003 (2015)",
