Atom,A,B,Value,Uncertainty,Method,Year,Citation,Notes
Cs,7p-,6s,0.2805,0.0020,CCSDT+Br+QED,2021,"B. K. Sahoo, B. P. Das, and H. Spiesberger, Phys. Rev. D 103, L111303 (2021).",
Cs,7p-,7s,10.2915,0.0100,CCSDT+Br+QED,2021,"B. K. Sahoo, B. P. Das, and H. Spiesberger, Phys. Rev. D 103, L111303 (2021).",
Cs,7p-,6s,0.27810,0.00045,Expt.,2019,"Amy Damitz, George Toh, Eric Putney, Carol E. Tanner, and D. S. Elliott, Phys. Rev. A 99, 062510 (2019)",
Cs,7p-,7s,10.308,0.015,Expt. + Th,,"S. C. Bennett, J. L. Roberts, and C. E. Wieman, Phys. Rev. A 59, R16 (1999); M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999)",
Cs,7p-,7s,10.325,0.005,Expt. + Th,,"S. C. Bennett, J. L. Roberts, and C. E. Wieman, Phys. Rev. A 59, R16 (1999); G. Toh, A. Damitz, C. E. Tanner, W. R. Johnson, and D. S. Elliott, Phys. Rev. Lett. 123, 073002 (2019).",
Cs,7p-,5d-,2.033,0.005,Expt,2019,"G. Toh, N. Chalus, A. Burgess, A. Damitz, P. Imany, D. E. Leaird, A. M. Weiner, C. E. Tanner, and D. S. Elliott, Phys. Rev. A 100, 052507 (2019).",
Cs,7p+,6s,0.583,,CPM,1989,"V. A. Dzuba, V. V. Flambaum, A. Y. Kraftmakher, and O. P. Sushkov, Phys. Lett. A 142, 373 (1989).",
Cs,7p+,7s,14.3,,CPM,1989,"V. A. Dzuba, V. V. Flambaum, A. Y. Kraftmakher, and O. P. Sushkov, Phys. Lett. A 142, 373 (1989).",
Cs,7p+,6s,0.576,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Cs,7p+,7s,14.323,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Cs,7p+,6s,0.5440,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,7p+,7s,14.299,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,7p+,5d-,0.815,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,7p+,5d+,2.542,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,7p+,6s,0.6013,0.0257,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,7p+,7s,14.3231,0.0612,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,7p+,5d-,0.9000,0.2000,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,7p+,5d+,2.8000,0.5000,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",* many in supplementary material?
Cs,7p+,6s,0.57417,0.00057,Expt.,2019,"Amy Damitz, George Toh, Eric Putney, Carol E. Tanner, and D. S. Elliott, Phys. Rev. A 99, 062510 (2019)",
Cs,7p+,7s,14.320,0.020,Expt. + Th,,"S. C. Bennett, J. L. Roberts, and C. E. Wieman, Phys. Rev. A 59, R16 (1999); M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999)",
Cs,7p+,7s,14.344,0.007,Expt. + Th,,"S. C. Bennett, J. L. Roberts, and C. E. Wieman, Phys. Rev. A 59, R16 (1999); G. Toh, A. Damitz, C. E. Tanner, W. R. Johnson, and D. S. Elliott, Phys. Rev. Lett. 123, 073002 (2019).",
Cs,7p+,5d-,0.797,0.003,Expt. + Th,2019,"G. Toh, N. Chalus, A. Burgess, A. Damitz, P. Imany, D. E. Leaird, A. M. Weiner, C. E. Tanner, and D. S. Elliott, Phys. Rev. A 100, 052507 (2019).","*Error bars exclude theory error, which is “substantial”"
Cs,7p+,5d+,2.480,0.008,Expt. + Th,2019,"G. Toh, N. Chalus, A. Burgess, A. Damitz, P. Imany, D. E. Leaird, A. M. Weiner, C. E. Tanner, and D. S. Elliott, Phys. Rev. A 100, 052507 (2019).","*Error bars exclude theory error, which is “substantial”"
Cs,8p-,6s,0.081,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Cs,8p-,6s,0.0660,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,8p-,7s,0.928,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,8p-,5d-,0.647,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,8p-,6s,0.0916,0.0103,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,8p-,7s,0.9140,0.0270,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,8p-,6s,0.0824,0.0010,CCSDT+Br+QED,2021,"B. K. Sahoo, B. P. Das, and H. Spiesberger, Phys. Rev. D 103, L111303 (2021).",
Cs,8p-,7s,0.9326,0.0020,CCSDT+Br+QED,2021,"B. K. Sahoo, B. P. Das, and H. Spiesberger, Phys. Rev. D 103, L111303 (2021).",
Cs,8p+,6s,0.218,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Cs,8p+,6s,0.1970,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,8p+,7s,1.639,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,8p+,5d-,0.261,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,8p+,5d+,0.809,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,8p+,6s,0.2320,0.0144,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,8p+,7s,1.6200,0.0350,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Fr,10p-,7s,0.055,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,10p-,8s,0.38,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,10p-,9s,1.822,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,10p+,7s,0.271,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,10p+,8s,1.049,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,10p+,9s,3.876,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,7p-,7s,4.279,,CPM,1995,"V. A. Dzuba, V. V. Flambaum, and O. P. Sushkov, Phys. Rev. A 51, 3454 (1995).",
Fr,7p-,8s,4.165,,CPM,1995,"V. A. Dzuba, V. V. Flambaum, and O. P. Sushkov, Phys. Rev. A 51, 3454 (1995).",
Fr,7p-,6d-,7.196,,CPM,1995,"V. A. Dzuba, V. V. Flambaum, and O. P. Sushkov, Phys. Rev. A 51, 3454 (1995).",
Fr,7p-,7s,4.278,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013).",
Fr,7p-,6d-,7.174,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013).",
Fr,7p-,7s,4.256,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,7p-,8s,4.237,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,7p-,9s,1.016,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,7p-,7s,4.28,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,7p-,8s,4.26,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,7p-,6d-,7.202,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,7p-,7s,4.2641,,CCSD,2007,"U. I. Safronova, W. R. Johnson, and M. S. Safronova, Phys. Rev. A 76, 042504 (2007).",
Fr,7p-,6d-,7.0276,,CCSD,2007,"U. I. Safronova, W. R. Johnson, and M. S. Safronova, Phys. Rev. A 76, 042504 (2007).",
Fr,7p-,6d-,7.43,0.05,CCSD(T),2015,"B. K. Sahoo and B. P. Das, Phys. Rev. A 92, 052511 ",
Fr,7p-,6d-,7.45,,CCSD(T),2016,"S. Singh, B. K. Sahoo, and B. Arora, Phys. Rev. A 94, 023418 (2016).",
Fr,7p-,7s,4.277,0.008,Expt.,1998,"J. E. Simsarian, L. A. Orozco, G. D. Sprouse, and W. Z. Zhao, Phys. Rev. A 57, 2448 (1998)",
Fr,7p-,7d-,3.52,0.01,Expt+Theory,1998,"D. DiBerardino, C. E. Tanner, and A. Sieradzan,Phys. Rev. A 57, 4204 (1998); V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,7p-,7s,4.27,0.07,CCSD,2017,"Y.-B. Tang, B.-Q. Lou, and T.-Y. Shi, Phys. Rev. A 96, 022513 (2017).",
Fr,7p-,6d-,7.15,0.09,CCSD,2017,"Y.-B. Tang, B.-Q. Lou, and T.-Y. Shi, Phys. Rev. A 96, 022513 (2017).",
Fr,7p-,7s,4.345,,CCSDpT,2019,"N. Shitara, B. K. Sahoo, T. Watanabe, and B. P. Das, arXiv:1912.02981 (2019).",
Fr,7p-,7s,4.26,,CCSDpT,2016,"B. K. Sahoo, T. Aoki, B. P. Das, and Y. Sakemi, Phys. Rev. A 93, 032520 (2016).",
Fr,7p-,6d-,7.45,,CCSDpT,2016,"B. K. Sahoo, T. Aoki, B. P. Das, and Y. Sakemi, Phys. Rev. A 93, 032520 (2016).",
Fr,7p+,7s,5.894,,CPM,1995,"V. A. Dzuba, V. V. Flambaum, and O. P. Sushkov, Phys. Rev. A 51, 3454 (1995).",
Fr,7p+,8s,7.384,,CPM,1995,"V. A. Dzuba, V. V. Flambaum, and O. P. Sushkov, Phys. Rev. A 51, 3454 (1995).",
Fr,7p+,6d-,3.311,,CPM,1995,"V. A. Dzuba, V. V. Flambaum, and O. P. Sushkov, Phys. Rev. A 51, 3454 (1995).",
Fr,7p+,6d+,10.184,,CPM,1995,"V. A. Dzuba, V. V. Flambaum, and O. P. Sushkov, Phys. Rev. A 51, 3454 (1995).",
Fr,7p+,7s,5.906,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013).",
Fr,7p+,6d-,3.301,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013).",
Fr,7p+,6d+,10.156,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013).",
Fr,7p+,7s,5.851,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,7p+,8s,7.461,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,7p+,9s,1.393,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,7p+,7s,5.897,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,7p+,8s,7.487,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,7p+,6d-,3.314,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,7p+,6d+,10.187,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,7p+,7s,5.8619,,CCSD,2007,"U. I. Safronova, W. R. Johnson, and M. S. Safronova, Phys. Rev. A 76, 042504 (2007).",
Fr,7p+,6d-,3.2217,,CCSD,2007,"U. I. Safronova, W. R. Johnson, and M. S. Safronova, Phys. Rev. A 76, 042504 (2007).",
Fr,7p+,6d+,9.9456,,CCSD,2007,"U. I. Safronova, W. R. Johnson, and M. S. Safronova, Phys. Rev. A 76, 042504 (2007).",
Fr,7p+,6d-,3.42,0.02,CCSD(T),2015,"B. K. Sahoo and B. P. Das, Phys. Rev. A 92, 052511 ",
Fr,7p+,6d+,10.51,0.07,CCSD(T),2015,"B. K. Sahoo and B. P. Das, Phys. Rev. A 92, 052511 ",
Fr,7p+,6d-,3.44,,CCSD(T),2016,"S. Singh, B. K. Sahoo, and B. Arora, Phys. Rev. A 94, 023418 (2016).",
Fr,7p+,6d+,10.53,,CCSD(T),2016,"S. Singh, B. K. Sahoo, and B. Arora, Phys. Rev. A 94, 023418 (2016).",
Fr,7p+,7s,5.898,0.015,Expt.,1998,"J. E. Simsarian, L. A. Orozco, G. D. Sprouse, and W. Z. Zhao, Phys. Rev. A 57, 2448 (1998)",
Fr,7p+,7d-,2.19,0.01,Expt+Theory,1998,"D. DiBerardino, C. E. Tanner, and A. Sieradzan,Phys. Rev. A 57, 4204 (1998); V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,7p+,7d+,6.23,0.12,Expt+Theory,1998,"D. DiBerardino, C. E. Tanner, and A. Sieradzan,Phys. Rev. A 57, 4204 (1998); V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,7p+,7s,5.87,0.10,CCSD,2017,"Y.-B. Tang, B.-Q. Lou, and T.-Y. Shi, Phys. Rev. A 96, 022513 (2017).",
Fr,7p+,6d-,3.27,0.07,CCSD,2017,"Y.-B. Tang, B.-Q. Lou, and T.-Y. Shi, Phys. Rev. A 96, 022513 (2017).",
Fr,7p+,6d+,10.07,0.17,CCSD,2017,"Y.-B. Tang, B.-Q. Lou, and T.-Y. Shi, Phys. Rev. A 96, 022513 (2017).",
Fr,7p+,7s,5.98,,CCSDpT,2016,"B. K. Sahoo, T. Aoki, B. P. Das, and Y. Sakemi, Phys. Rev. A 93, 032520 (2016).",
Fr,7p+,6d-,3.44,,CCSDpT,2016,"B. K. Sahoo, T. Aoki, B. P. Das, and Y. Sakemi, Phys. Rev. A 93, 032520 (2016).",
Fr,7p+,6d+,10.53,,CCSDpT,2016,"B. K. Sahoo, T. Aoki, B. P. Das, and Y. Sakemi, Phys. Rev. A 93, 032520 (2016).",
Fr,8p-,7s,0.2913,,CPM,1995,"V. A. Dzuba, V. V. Flambaum, and O. P. Sushkov, Phys. Rev. A 51, 3454 (1995).",
Fr,8p-,8s,10.160,,CPM,1995,"V. A. Dzuba, V. V. Flambaum, and O. P. Sushkov, Phys. Rev. A 51, 3454 (1995).",
Fr,8p-,7s,0.287,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013).",
Fr,8p-,7s,0.306,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,8p-,8s,10.1,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,8p-,9s,9.28,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,8p-,7s,0.27,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,8p-,8s,10.064,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,8p-,6d-,2.574,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,8p+,7s,0.924,,CPM,1995,"V. A. Dzuba, V. V. Flambaum, and O. P. Sushkov, Phys. Rev. A 51, 3454 (1995).",
Fr,8p+,8s,13.45,,CPM,1995,"V. A. Dzuba, V. V. Flambaum, and O. P. Sushkov, Phys. Rev. A 51, 3454 (1995).",
Fr,8p+,7s,0.890,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013).",
Fr,8p+,7s,0.909,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,8p+,8s,13.37,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,8p+,9s,15.88,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,8p+,7s,0.864,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,8p+,8s,13.321,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,8p+,6d-,0.802,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,8p+,6d+,2.609,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,9p-,7s,0.098,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,9p-,8s,0.985,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,9p-,9s,17.39,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,9p-,7s,0.076,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,9p-,8s,0.985,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,9p-,6d-,0.798,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,9p+,7s,0.422,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,9p+,8s,2.245,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,9p+,9s,22.59,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Fr,9p+,7s,0.396,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,9p+,8s,2.248,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,9p+,6d-,0.266,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Fr,9p+,6d+,0.851,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
K,4p-,4s,4.098,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,4p-,5s,3.866,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,4p-,4s,4.102,,CCSD,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007).",
K,4p-,3d-,7.949,,CCSD,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007).",
K,4p-,3d-,7.989,0.080,CCSDpT,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007).",
K,4p-,5s,3.7745,0.0072,CCSDpT?,2021,"Parinaz Barakhshan, Adam Marrs, Bindiya Arora, Rudolf Eigenmann, Marianna S. Safronova, Portal for High-Precision Atomic Data and Computation (version 1.0). University of Delaware, Newark, DE, USA. URL: https://www.udel.edu/atom/ [January 2021].",
K,4p-,3d-,7.9488,0.0076,CCSDpT?,2021,"Parinaz Barakhshan, Adam Marrs, Bindiya Arora, Rudolf Eigenmann, Marianna S. Safronova, https://www.udel.edu/atom/ [January 2021].",
K,4p-,4s,4.106,0.002,Expt,2006,"St. Falke, I. Sherstov, E. Tiemann, and Ch. Lisdat, The Journal of Chemical Physics 125, 224303 (2006)",
K,4p-,3d-,7.984,0.035,Expt+Theory,2007,"K. E. Miller, D. Krause, and L. R. Hunter, Phys. Rev. A 49, 5128 (1994); B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007).",
K,4p+,4s,5.794,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,4p+,5s,5.510,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,4p+,3d-,3.5650,0.0031,CCSDpT?,2021,"Parinaz Barakhshan, Adam Marrs, Bindiya Arora, Rudolf Eigenmann, Marianna S. Safronova, https://www.udel.edu/atom/ [January 2021].",
K,4p+,3d+,10.6949,0.0092,CCSDpT?,2021,"Parinaz Barakhshan, Adam Marrs, Bindiya Arora, Rudolf Eigenmann, Marianna S. Safronova, https://www.udel.edu/atom/ [January 2021].",
K,4p+,4s,5.807,0.003,Expt,2006,"St. Falke, I. Sherstov, E. Tiemann, and Ch. Lisdat, The Journal of Chemical Physics 125, 224303 (2006)",
K,4p+,3d-,3.580,0.016,Expt+Theory,2007,"K. E. Miller, D. Krause, and L. R. Hunter, Phys. Rev. A 49, 5128 (1994); B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007).",
K,4p+,3d+,10.741,0.047,Expt+Theory,2007,"K. E. Miller, D. Krause, and L. R. Hunter, Phys. Rev. A 49, 5128 (1994); B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007).",
K,5p-,4s,0.275,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,5p-,5s,9.461,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,5p+,4s,0.406,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,5p+,5s,13.358,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,6p-,4s,0.084,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,6p-,5s,0.892,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,6p+,4s,0.128,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,6p+,5s,1.292,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,7p-,4s,0.039,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,7p-,5s,0.335,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,7p+,4s,0.061,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
K,7p+,5s,0.491,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Ra+,7p-,7s,3.224,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ra+,7p-,8s,2.534,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ra+,7p-,6d-,3.55,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ra+,7p-,7s,3.228,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013).",
Ra+,7p-,6d-,3.533,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013).",
Ra+,7p-,7s,3.2545,,CCSD,2007,"U. I. Safronova, W. R. Johnson, and M. S. Safronova, Phys. Rev. A 76, 042504 (2007).",
Ra+,7p-,6d-,3.5659,,CCSD,2007,"U. I. Safronova, W. R. Johnson, and M. S. Safronova, Phys. Rev. A 76, 042504 (2007).",
Ra+,7p-,7s,3.28,,CCSDpT,2007,"B. K. Sahoo, B. P. Das, R. K. Chaudhuri, D. Mukherjee, R. G. E. Timmermans, and K. Jungmann, Phys. Rev. A 76, 040504 (2007).",
Ra+,7p-,6d-,3.64,,CCSDpT,2007,"B. K. Sahoo, B. P. Das, R. K. Chaudhuri, D. Mukherjee, R. G. E. Timmermans, and K. Jungmann, Phys. Rev. A 76, 040504 (2007).",
Ra+,7p-,7s,3.31,,CCSD,2008,"L. W. Wansbeek, B. K. Sahoo, R. G. E. Timmermans, K. Jungmann, B. P. Das, and D. Mukherjee, Phys. Rev. A 78, 050501 (2008).",
Ra+,7p-,6d-,3.68,,CCSD,2008,"L. W. Wansbeek, B. K. Sahoo, R. G. E. Timmermans, K. Jungmann, B. P. Das, and D. Mukherjee, Phys. Rev. A 78, 050501 (2008).",
